date,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland.Härjedalen,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Sörmland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västra.Götaland,Örebro,Östergötland,compartment
2020-03-19,0,0,0,8,2,0,5,8,0,0,7,101,1,13,1,2,0,3,0,0,16,H
2020-03-20,0,2,0,9,2,0,6,8,0,1,7,139,6,18,0,4,1,3,0,0,15,H
2020-03-21,0,2,0,10,2,0,6,8,0,1,8,158,3,22,0,1,1,4,18,1,16,H
2020-03-22,0,2,0,10,2,0,6,9,0,5,8,188,11,23,4,1,1,6,25,1,19,H
2020-03-23,0,8,0,12,7,0,8,9,0,5,13,211,11,22,3,1,1,8,23,1,23,H
2020-03-24,0,10,0,16,8,2,8,9,0,5,17,236,18,25,2,1,2,10,19,1,35,H
2020-03-25,0,10,0,22,7,3,10,9,0,5,16,300,18,29,2,2,2,12,18,2,38,H
2020-03-26,0,8,2,20,6,3,8,12,1,5,20,333,55,34,1,4,2,11,17,3,44,H
2020-03-27,0,10,2,28,3,3,14,14,1,5,27,373,57,36,1,5,2,19,35,3,54,H
2020-03-28,0,10,2,34,3,3,14,15,1,5,28,410,61,37,2,4,2,17,32,5,63,H
2020-03-29,0,10,2,37,3,3,17,15,1,5,28,443,72,40,3,4,2,22,35,8,73,H
2020-03-30,4,25,1,41,8,5,15,18,1,5,21,488,74,39,4,5,2,26,35,10,73,H
2020-03-31,1,40,1,42,11,5,19,19,5,23,22,501,84,42,5,6,9,30,37,9,86,H
2020-04-01,2,32,1,38,10,5,22,20,5,23,20,546,93,47,4,10,8,30,41,15,94,H
2020-04-02,3,38,1,38,10,6,26,19,6,31,20,572,88,57,4,9,12,30,45,20,109,H
2020-04-03,2,31,1,39,9,7,26,21,6,33,27,578,88,55,3,7,17,30,52,23,107,H
2020-04-04,2,31,0,40,9,7,31,20,6,33,35,564,105,60,3,11,17,32,50,32,103,H
2020-04-05,2,31,0,35,9,8,33,25,3,34,41,732,117,52,3,13,11,32,58,26,104,H
2020-04-06,2,34,0,39,8,8,35,26,3,34,37,729,113,55,3,14,9,34,70,28,104,H
2020-04-07,2,41,0,41,6,7,35,25,5,32,37,755,109,54,3,14,12,33,75,33,111,H
2020-04-08,2,38,0,39,10,8,43,24,7,37,47,758,78,59,6,16,14,35,89,38,110,H
2020-04-09,2,40,0,41,8,8,38,21,9,44,48,766,83,55,6,13,12,35,77,41,110,H
2020-04-10,2,40,1,41,8,5,35,16,9,46,45,802,91,61,4,17,9,44,97,44,112,H
2020-04-11,2,40,1,42,15,6,38,16,12,41,45,792,93,61,8,13,9,45,121,48,112,H
2020-04-12,2,55,0,37,15,7,39,19,12,41,44,819,88,70,9,15,12,42,119,45,110,H
2020-04-13,2,55,0,38,19,7,37,23,12,41,51,855,89,76,14,10,15,43,114,47,110,H
2020-04-14,2,51,0,41,17,7,33,22,10,36,50,855,89,84,13,10,15,41,141,53,111,H
2020-04-15,2,47,0,39,17,11,38,24,10,32,52,878,92,100,11,9,16,40,127,49,108,H
2020-04-16,5,46,1,39,13,10,39,26,10,31,56,873,91,101,12,13,15,38,135,46,106,H
2020-04-17,5,45,1,34,13,12,46,26,10,39,55,873,92,102,16,12,12,44,168,48,96,H
2020-04-18,5,45,1,35,13,12,46,26,10,32,54,840,96,93,13,11,19,36,164,52,90,H
2020-04-19,5,45,1,35,13,15,49,26,10,34,56,882,100,92,14,11,19,36,178,52,89,H
2020-04-20,4,58,1,38,23,12,51,33,13,31,52,861,90,92,19,12,16,38,202,43,91,H
2020-04-21,4,58,2,38,21,9,47,34,14,28,49,837,82,86,19,11,10,33,196,45,90,H
2020-04-22,4,57,2,37,29,6,47,35,14,24,50,841,82,89,18,8,11,31,200,47,93,H
2020-04-23,2,52,1,37,30,6,39,36,14,27,50,816,84,89,17,8,10,34,212,53,87,H
2020-04-24,3,43,1,39,22,9,39,31,11,23,51,808,87,94,16,7,18,32,225,54,86,H
