date,Sweden,compartment
2020-02-04,1,Iinc
2020-02-05,0,Iinc
2020-02-06,0,Iinc
2020-02-07,0,Iinc
2020-02-08,0,Iinc
2020-02-09,0,Iinc
2020-02-10,0,Iinc
2020-02-11,0,Iinc
2020-02-12,0,Iinc
2020-02-13,0,Iinc
2020-02-14,0,Iinc
2020-02-15,0,Iinc
2020-02-16,0,Iinc
2020-02-17,0,Iinc
2020-02-18,0,Iinc
2020-02-19,0,Iinc
2020-02-20,0,Iinc
2020-02-21,0,Iinc
2020-02-22,0,Iinc
2020-02-23,0,Iinc
2020-02-24,0,Iinc
2020-02-25,0,Iinc
2020-02-26,1,Iinc
2020-02-27,1,Iinc
2020-02-28,8,Iinc
2020-02-29,3,Iinc
2020-03-01,0,Iinc
2020-03-02,5,Iinc
2020-03-03,13,Iinc
2020-03-04,30,Iinc
2020-03-05,25,Iinc
2020-03-06,59,Iinc
2020-03-07,33,Iinc
2020-03-08,46,Iinc
2020-03-09,101,Iinc
2020-03-10,98,Iinc
2020-03-11,196,Iinc
2020-03-12,151,Iinc
2020-03-13,152,Iinc
2020-03-14,71,Iinc
2020-03-15,69,Iinc
2020-03-16,83,Iinc
2020-03-17,119,Iinc
2020-03-18,145,Iinc
2020-03-19,143,Iinc
2020-03-20,180,Iinc
2020-03-21,136,Iinc
2020-03-22,118,Iinc
2020-03-23,182,Iinc
2020-03-24,230,Iinc
2020-03-25,314,Iinc
2020-03-26,286,Iinc
2020-03-27,365,Iinc
2020-03-28,300,Iinc
2020-03-29,280,Iinc
2020-03-30,416,Iinc
2020-03-31,474,Iinc
2020-04-01,486,Iinc
2020-04-02,554,Iinc
2020-04-03,602,Iinc
2020-04-04,357,Iinc
2020-04-05,340,Iinc
2020-04-06,389,Iinc
2020-04-07,739,Iinc
2020-04-08,654,Iinc
2020-04-09,645,Iinc
2020-04-10,454,Iinc
2020-04-11,395,Iinc
2020-04-12,464,Iinc
2020-04-13,437,Iinc
2020-04-14,479,Iinc
2020-04-15,604,Iinc
2020-04-16,623,Iinc
2020-04-17,689,Iinc
2020-04-18,532,Iinc
2020-04-19,388,Iinc
2020-04-20,461,Iinc
2020-04-21,707,Iinc
2020-04-22,723,Iinc
2020-04-23,758,Iinc
2020-04-24,781,Iinc
2020-04-25,473,Iinc
2020-04-26,300,Iinc
2020-04-27,563,Iinc
2020-04-28,742,Iinc
2020-04-29,799,Iinc
2020-04-30,636,Iinc
2020-05-01,532,Iinc
2020-05-02,299,Iinc
2020-05-03,261,Iinc
2020-05-04,477,Iinc
2020-05-05,657,Iinc
2020-05-06,745,Iinc
2020-05-07,785,Iinc
2020-05-08,701,Iinc
2020-05-09,509,Iinc
2020-05-10,279,Iinc
2020-05-11,455,Iinc
2020-05-12,754,Iinc
2020-05-13,698,Iinc
2020-05-14,657,Iinc
2020-05-15,688,Iinc
2020-05-16,358,Iinc
2020-05-17,259,Iinc
2020-05-18,430,Iinc
2020-05-19,666,Iinc
2020-05-20,808,Iinc
2020-05-21,610,Iinc
2020-05-22,532,Iinc
2020-05-23,403,Iinc
2020-05-24,210,Iinc
2020-05-25,490,Iinc
2020-05-26,746,Iinc
2020-05-27,800,Iinc
2020-05-28,774,Iinc
2020-05-29,773,Iinc
2020-05-30,432,Iinc
2020-05-31,265,Iinc
2020-06-01,648,Iinc
2020-06-02,900,Iinc
2020-06-03,1046,Iinc
2020-06-04,1039,Iinc
2020-06-05,1146,Iinc
2020-06-06,780,Iinc
2020-06-07,462,Iinc
2020-06-08,677,Iinc
2020-06-09,937,Iinc
2020-06-10,1437,Iinc
2020-06-11,1293,Iinc
2020-06-12,1329,Iinc
2020-06-13,1032,Iinc
2020-06-14,418,Iinc
2020-06-15,685,Iinc
2020-06-16,1209,Iinc
2020-06-17,1457,Iinc
2020-06-18,1494,Iinc
2020-06-19,1209,Iinc
2020-06-20,698,Iinc
2020-06-21,321,Iinc
2020-06-22,800,Iinc
2020-06-23,1309,Iinc
2020-06-24,1696,Iinc
2020-06-25,1276,Iinc
2020-06-26,1204,Iinc
2020-06-27,755,Iinc
2020-06-28,415,Iinc
2020-06-29,726,Iinc
2020-06-30,808,Iinc
2020-07-01,685,Iinc
2020-07-02,687,Iinc
2020-07-03,694,Iinc
2020-07-04,364,Iinc
2020-07-05,315,Iinc
2020-07-06,251,Iinc
2020-07-07,278,Iinc
2020-07-08,533,Iinc
2020-07-09,334,Iinc
2020-07-10,369,Iinc
2020-07-11,308,Iinc
2020-07-12,106,Iinc
2020-07-13,170,Iinc
2020-07-14,312,Iinc
2020-07-15,287,Iinc
2020-07-16,268,Iinc
2020-07-17,284,Iinc
2020-07-18,191,Iinc
2020-07-19,110,Iinc
2020-07-20,131,Iinc
2020-07-21,226,Iinc
2020-07-22,297,Iinc
2020-07-23,220,Iinc
2020-07-24,262,Iinc
2020-07-25,138,Iinc
2020-07-26,42,Iinc
2020-07-27,71,Iinc
2020-07-28,283,Iinc
2020-07-29,301,Iinc
2020-07-30,302,Iinc
2020-07-31,258,Iinc
2020-08-01,303,Iinc
2020-08-02,38,Iinc
2020-08-03,165,Iinc
2020-08-04,333,Iinc
2020-08-05,425,Iinc
2020-08-06,378,Iinc
2020-08-07,380,Iinc
2020-08-08,260,Iinc
2020-08-09,73,Iinc
2020-08-10,196,Iinc
2020-08-11,417,Iinc
2020-08-12,443,Iinc
2020-08-13,363,Iinc
2020-08-14,344,Iinc
2020-08-15,226,Iinc
2020-08-16,63,Iinc
2020-08-17,174,Iinc
2020-08-18,314,Iinc
2020-08-19,351,Iinc
2020-08-20,333,Iinc
2020-08-21,298,Iinc
2020-08-22,160,Iinc
2020-08-23,57,Iinc
2020-08-24,174,Iinc
2020-08-25,222,Iinc
2020-08-26,244,Iinc
2020-08-27,202,Iinc
2020-08-28,179,Iinc
2020-08-29,131,Iinc
2020-08-30,48,Iinc
2020-08-31,162,Iinc
2020-09-01,171,Iinc
2020-09-02,213,Iinc
2020-09-03,286,Iinc
2020-09-04,262,Iinc
2020-09-05,171,Iinc
2020-09-06,67,Iinc
2020-09-07,185,Iinc
2020-09-08,236,Iinc
2020-09-09,314,Iinc
2020-09-10,254,Iinc
2020-09-11,291,Iinc
2020-09-12,206,Iinc
2020-09-13,106,Iinc
2020-09-14,220,Iinc
2020-09-15,292,Iinc
2020-09-16,330,Iinc
2020-09-17,389,Iinc
2020-09-18,437,Iinc
2020-09-19,279,Iinc
2020-09-20,133,Iinc
2020-09-21,266,Iinc
2020-09-22,438,Iinc
2020-09-23,553,Iinc
2020-09-24,540,Iinc
2020-09-25,630,Iinc
2020-09-26,325,Iinc
2020-09-27,167,Iinc
2020-09-28,378,Iinc
2020-09-29,613,Iinc
2020-09-30,689,Iinc
2020-10-01,633,Iinc
2020-10-02,712,Iinc
2020-10-03,461,Iinc
2020-10-04,156,Iinc
2020-10-05,374,Iinc
2020-10-06,786,Iinc
2020-10-07,831,Iinc
2020-10-08,834,Iinc
2020-10-09,783,Iinc
2020-10-10,509,Iinc
2020-10-11,161,Iinc
2020-10-12,637,Iinc
