date,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland Härjedalen,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Sörmland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västra Götaland,Örebro,Östergötland,compartment
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-02-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Iinc
2020-02-26,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,6,0,0,Iinc
2020-03-04,0,0,0,2,1,0,2,0,0,0,22,140,0,5,11,0,0,0,24,4,0,Iinc
2020-03-11,10,5,2,5,41,21,37,7,15,6,177,230,21,33,21,13,11,5,146,5,27,Iinc
2020-03-18,2,17,3,17,17,34,15,5,3,14,32,407,43,37,8,16,3,16,78,33,124,Iinc
2020-03-25,9,70,6,52,31,26,56,19,15,29,46,962,107,84,10,18,22,29,116,48,202,Iinc
2020-04-01,15,102,3,106,43,11,133,21,21,35,70,1347,295,147,6,74,33,110,240,84,333,Iinc
2020-04-08,6,159,2,108,53,42,105,19,47,54,99,1416,208,158,23,58,36,190,444,227,286,Iinc
2020-04-15,1,138,3,121,52,81,153,28,75,55,100,1409,210,200,25,56,34,165,421,224,201,Iinc
2020-04-22,21,198,12,109,88,63,182,43,88,41,131,1430,211,212,33,59,67,171,611,247,186,Iinc
2020-04-29,10,115,22,112,58,81,160,40,91,36,181,1265,187,188,70,35,67,120,623,238,133,Iinc
2020-05-06,11,164,10,176,93,80,156,43,147,30,200,1206,131,248,64,35,77,83,851,218,130,Iinc
2020-05-13,18,85,3,170,77,102,168,30,129,38,198,1135,83,180,53,52,98,116,828,176,130,Iinc
2020-05-20,44,84,5,152,101,97,162,24,115,22,233,902,74,195,83,49,143,115,732,172,155,Iinc
2020-05-27,68,83,11,165,125,94,224,73,105,56,254,1191,89,245,126,35,135,144,873,119,65,Iinc
2020-06-03,82,99,10,231,136,81,218,56,81,88,251,1203,97,309,110,35,154,173,2140,180,287,Iinc
2020-06-10,82,75,21,280,152,74,636,71,73,182,303,1375,142,247,115,40,118,282,2444,132,279,Iinc
2020-06-17,38,60,20,240,122,88,767,71,34,256,412,1730,103,317,84,51,154,268,1828,118,312,Iinc
2020-06-24,27,167,27,370,240,54,786,63,25,341,310,1609,174,400,93,61,157,212,1935,88,316,Iinc
2020-07-01,16,178,13,231,163,37,339,85,10,110,128,1130,73,184,45,34,162,177,914,66,184,Iinc
2020-07-08,11,58,14,232,56,21,177,34,19,101,124,482,67,61,20,13,118,100,364,47,60,Iinc
2020-07-15,8,52,19,89,35,22,105,14,27,45,154,395,45,60,9,24,70,50,320,28,51,Iinc
2020-07-22,3,30,24,63,31,19,60,17,19,39,141,329,18,22,15,8,59,35,336,22,26,Iinc
2020-07-29,11,27,21,22,60,10,63,16,28,25,155,295,9,40,14,18,37,39,583,40,43,Iinc
2020-08-05,33,48,34,35,99,19,81,14,62,24,184,363,12,53,57,8,40,39,670,51,88,Iinc
2020-08-12,46,37,22,43,91,18,68,26,90,24,248,416,16,51,46,42,21,41,580,45,81,Iinc
2020-08-19,22,42,8,34,99,2,62,41,46,7,299,353,9,64,27,14,27,36,397,32,66,Iinc
2020-08-26,15,56,3,28,76,12,32,24,43,10,287,239,10,35,12,13,10,21,233,13,28,Iinc
2020-09-02,3,57,1,23,93,22,78,9,38,5,198,253,2,34,27,7,6,32,296,86,62,Iinc
2020-09-09,4,79,3,42,79,9,132,8,60,7,218,305,16,75,20,23,16,50,300,75,71,Iinc
2020-09-16,14,164,5,37,84,18,105,11,88,15,291,537,23,69,27,42,18,56,337,85,54,Iinc
