date,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Sörmland,Uppsala,Västra Götaland,Västerbotten,Västernorrland,Västmanland,Örebro,Östergötland,Värmland,compartment
2020-03-30,1,12,1,6,6,1,6,1,0,8,6,109,24,7,36,5,2,7,6,21,2,W
2020-03-31,0,13,1,6,6,1,8,2,0,9,9,127,29,8,39,5,1,7,5,21,1,W
2020-04-01,0,13,1,8,7,1,7,3,0,9,11,135,25,8,40,6,1,9,5,24,1,W
2020-04-02,0,14,1,10,8,1,9,4,0,10,12,145,27,9,41,7,2,9,6,31,1,W
2020-04-03,1,12,1,14,8,1,11,4,0,12,12,148,27,17,43,9,2,9,7,27,1,W
2020-04-04,1,14,1,12,8,1,13,4,1,9,14,156,31,16,41,7,2,10,8,27,2,W
2020-04-05,2,16,1,15,9,1,14,4,1,11,15,166,32,19,42,7,2,9,9,27,2,W
2020-04-06,1,16,1,14,9,2,16,5,0,12,14,177,33,24,43,8,2,10,11,26,2,W
2020-04-07,2,16,1,13,8,2,14,5,0,12,16,178,33,23,43,11,3,11,14,27,4,W
2020-04-08,2,17,1,14,8,2,16,5,0,12,19,195,33,25,45,11,3,11,15,29,4,W
2020-04-09,2,17,0,14,7,2,17,6,2,10,18,201,33,23,50,10,2,10,16,27,5,W
2020-04-10,3,14,0,16,8,2,19,6,2,9,18,204,32,24,54,9,6,12,18,28,6,W
2020-04-11,3,13,0,15,7,3,19,6,2,12,20,208,30,22,60,9,6,11,19,26,1,W
2020-04-12,2,13,1,15,7,3,19,6,2,10,19,219,30,25,66,8,5,10,20,27,9,W
2020-04-13,2,17,1,15,9,3,18,6,2,11,23,219,33,24,67,10,5,9,18,29,8,W
2020-04-14,3,15,1,15,8,4,17,6,2,10,22,216,31,22,72,11,6,9,20,31,9,W
2020-04-15,1,16,2,17,6,4,17,7,2,11,24,220,30,25,72,9,9,9,20,30,9,W
2020-04-16,1,16,2,18,8,4,16,7,2,11,24,219,30,26,68,8,6,8,19,26,8,W
2020-04-17,1,15,2,16,7,4,17,7,3,12,19,216,37,26,66,10,7,7,20,29,8,W
2020-04-18,0,16,2,16,7,3,16,8,4,13,22,223,36,25,71,10,7,7,19,31,8,W
2020-04-19,0,16,2,16,8,3,18,7,4,14,23,220,37,21,70,10,6,6,21,34,8,W
2020-04-20,0,14,2,17,7,3,20,8,3,13,21,224,26,22,63,10,6,7,19,34,8,W
2020-04-21,0,17,2,16,6,3,20,9,2,16,22,215,32,25,67,11,9,8,19,30,8,W
2020-04-22,0,17,2,16,5,3,19,7,2,13,23,208,33,23,69,12,8,8,18,31,8,W
2020-04-23,0,15,2,15,5,4,17,6,2,12,25,217,31,20,78,11,8,7,18,29,9,W
2020-04-24,0,16,2,15,5,4,16,6,3,15,21,223,32,18,85,13,8,9,17,30,9,W
2020-04-25,0,14,2,14,4,4,19,5,5,15,22,223,30,20,91,13,7,9,21,31,9,W
2020-04-26,0,14,2,15,4,4,18,5,5,16,20,220,30,20,95,13,8,9,20,31,9,W
2020-04-27,0,14,2,14,4,4,19,4,6,14,20,211,31,21,89,13,11,9,19,30,8,W
2020-04-28,0,14,2,16,4,5,19,5,7,13,22,211,31,22,89,13,11,8,21,32,8,W
2020-04-29,0,13,2,17,6,5,20,5,5,13,21,202,30,21,84,11,11,7,18,32,8,W
2020-04-30,0,15,2,17,7,5,21,5,5,12,22,193,29,20,92,10,11,9,20,39,9,W
2020-05-01,0,15,2,15,6,4,21,6,5,11,22,189,29,19,95,10,10,10,20,32,8,W
2020-05-02,0,11,1,16,5,4,20,6,5,10,20,188,30,16,92,9,9,10,22,33,8,W
2020-05-03,0,13,1,14,6,3,19,6,4,11,21,189,30,15,92,9,8,10,24,30,7,W
2020-05-04,0,12,1,14,6,3,19,5,3,12,19,190,27,15,98,9,9,11,24,31,7,W
2020-05-05,0,13,1,15,7,3,20,6,3,10,19,181,27,15,96,10,9,12,23,31,5,W
2020-05-06,0,13,1,15,6,4,19,5,4,11,20,176,27,13,97,10,9,12,23,26,5,W
2020-05-07,0,12,1,13,6,5,18,6,4,10,21,169,25,13,93,10,10,12,20,25,8,W
2020-05-08,0,12,1,14,6,5,17,6,4,10,22,162,25,15,92,9,10,11,21,24,9,W
2020-05-09,0,12,2,13,6,6,16,6,4,10,21,166,23,16,86,7,11,11,22,24,10,W
2020-05-10,0,12,1,14,7,7,16,7,3,10,21,164,21,16,86,7,10,11,22,23,8,W
2020-05-11,0,12,1,13,6,8,17,4,3,9,23,151,22,14,86,6,10,11,21,21,10,W
2020-05-12,0,13,1,13,5,7,18,4,3,8,19,145,22,12,82,6,10,9,21,21,5,W
2020-05-13,0,12,1,12,4,7,14,4,3,7,20,146,22,11,83,4,10,9,18,19,6,W
2020-05-14,0,13,1,12,4,8,13,3,3,7,21,144,22,10,79,4,10,9,16,17,5,W
2020-05-15,1,10,1,12,5,7,13,2,3,7,19,143,22,14,76,4,11,9,16,16,5,W
2020-05-16,1,10,1,12,5,6,10,1,3,7,18,134,22,14,72,4,11,8,16,16,5,W
2020-05-17,1,10,1,12,5,4,8,1,3,10,17,136,20,14,69,4,10,9,17,17,5,W
2020-05-18,1,10,1,13,5,4,11,3,3,10,18,130,21,13,80,4,10,10,17,16,4,W
2020-05-19,1,10,1,11,4,5,10,2,4,10,17,127,24,14,76,4,9,10,16,16,3,W
2020-05-20,1,10,2,10,4,6,11,2,5,7,17,122,19,15,74,5,7,10,16,15,3,W
2020-05-21,1,10,0,9,4,5,10,1,6,7,17,112,18,15,77,5,8,10,16,16,3,W
2020-05-22,1,10,0,10,3,4,11,1,5,9,17,106,18,14,73,4,5,10,15,15,3,W
2020-05-23,1,8,0,10,3,3,11,1,5,8,20,110,19,14,69,6,6,9,15,15,3,W
2020-05-24,1,8,0,10,4,4,11,1,6,8,22,105,19,15,69,5,7,9,15,15,3,W
2020-05-25,1,6,0,11,5,4,10,0,7,6,22,107,19,14,72,5,9,9,15,15,2,W
2020-05-26,1,6,0,11,5,4,11,0,6,5,22,115,19,14,72,5,9,9,14,15,2,W
2020-05-27,1,4,0,12,7,4,11,0,7,5,20,113,16,17,66,5,7,10,15,14,2,W
2020-05-28,1,5,0,12,7,4,13,0,7,6,20,107,14,17,65,6,7,8,15,14,2,W
2020-05-29,1,3,0,12,5,4,11,0,6,5,20,104,14,15,66,5,6,8,15,10,1,W
2020-05-30,1,3,0,11,4,4,11,0,6,5,20,101,14,15,67,5,6,8,15,10,3,W
2020-05-31,1,5,0,10,4,4,12,0,6,5,18,104,12,16,71,6,5,8,14,10,4,W
2020-06-01,1,6,0,10,4,4,13,0,6,5,16,104,11,16,64,6,5,9,15,10,4,W
2020-06-02,1,4,0,10,4,4,13,0,6,5,15,104,13,15,63,6,6,9,17,11,3,W
2020-06-03,2,5,0,10,3,3,13,1,5,3,15,99,13,17,63,6,5,8,16,10,3,W
2020-06-04,2,5,0,11,4,3,14,2,3,2,17,90,14,17,58,6,5,10,17,11,4,W
2020-06-05,2,5,0,14,5,2,13,3,3,2,16,90,13,18,58,4,5,10,15,11,4,W
2020-06-06,2,5,0,14,5,2,12,3,3,3,18,88,10,18,55,5,4,9,14,15,3,W
2020-06-07,2,5,0,15,5,4,13,4,3,4,15,89,10,18,64,4,4,8,13,16,5,W
2020-06-08,2,5,0,16,6,4,13,4,3,5,15,84,10,15,63,4,3,10,13,15,4,W
2020-06-09,1,5,0,14,5,3,14,4,4,6,18,82,10,14,60,4,3,10,12,16,5,W
2020-06-10,1,5,0,13,5,3,12,4,4,6,20,79,9,16,58,4,4,8,11,14,5,W
2020-06-11,1,5,0,12,5,3,9,5,4,5,20,81,8,13,56,2,4,8,11,12,6,W
2020-06-12,1,5,0,12,5,3,9,5,5,6,19,77,7,13,49,3,3,8,12,12,6,W
2020-06-13,0,5,0,12,4,3,8,3,4,6,18,79,7,11,50,3,4,8,12,12,5,W
2020-06-14,0,5,0,13,4,2,8,3,4,8,16,70,7,14,50,4,4,8,13,12,6,W
2020-06-15,0,5,0,11,5,2,9,3,4,6,17,64,7,16,49,3,4,6,14,11,6,W
2020-06-16,0,4,0,12,4,2,9,4,5,8,15,58,7,13,44,2,4,6,13,13,7,W
2020-06-17,0,4,0,12,3,2,8,3,5,7,15,59,7,11,43,2,4,5,12,9,7,W
2020-06-18,1,4,0,10,2,2,8,3,5,5,14,62,7,11,46,2,4,5,12,9,7,W
2020-06-19,1,3,0,7,3,2,8,1,5,7,13,61,7,11,46,1,5,5,11,8,5,W
2020-06-20,1,3,0,8,4,2,8,1,5,8,15,61,7,9,47,0,6,5,11,8,4,W
2020-06-21,1,3,0,7,3,2,8,1,4,7,15,48,8,11,48,0,6,5,10,8,5,W
2020-06-22,2,3,0,7,3,2,8,0,4,8,14,48,8,11,50,0,6,4,10,8,5,W
2020-06-23,2,3,0,7,3,2,9,1,3,9,12,46,8,12,45,2,6,3,8,7,4,W
2020-06-24,2,3,0,9,3,2,9,1,3,8,11,50,8,11,40,2,6,4,8,7,4,W
2020-06-25,1,3,1,6,3,2,11,1,3,7,10,42,8,11,39,2,5,4,7,8,4,W
2020-06-26,2,4,1,4,3,2,9,1,3,8,10,41,8,11,34,2,5,4,7,8,4,W
2020-06-27,1,4,1,3,3,2,7,1,3,8,8,38,8,10,32,1,6,4,5,8,3,W
2020-06-28,1,4,1,3,3,2,6,1,3,8,8,39,5,9,32,1,6,4,5,8,3,W
2020-06-29,1,4,1,3,4,2,7,1,3,7,7,41,5,6,35,1,5,4,5,8,3,W
2020-06-30,1,4,1,3,3,1,8,1,3,8,8,38,3,6,35,1,4,4,3,7,3,W
2020-07-01,0,3,1,3,1,1,7,1,3,8,8,39,3,5,31,0,4,5,3,7,4,W
2020-07-02,0,3,1,1,2,0,6,0,2,8,6,36,3,5,30,0,3,5,3,6,4,W
2020-07-03,0,3,1,1,2,0,6,0,3,8,6,34,4,6,33,0,3,5,4,6,4,W
2020-07-04,0,3,1,1,2,0,6,0,3,6,6,33,4,5,34,0,3,4,4,6,3,W
2020-07-05,0,3,1,1,2,0,6,0,3,6,5,33,4,5,33,0,3,4,3,6,2,W
2020-07-06,0,3,1,1,1,0,5,0,2,6,6,30,7,4,32,0,3,4,3,6,2,W
2020-07-07,0,3,1,1,1,0,5,0,1,5,5,27,5,4,27,0,3,4,3,5,2,W
2020-07-08,0,2,1,1,1,0,5,0,1,5,4,25,3,4,25,0,2,3,3,5,2,W
2020-07-09,0,2,1,1,1,0,5,0,1,4,4,26,3,5,24,0,2,2,2,5,2,W
2020-07-10,0,2,1,1,1,0,5,0,1,4,4,26,3,4,20,0,1,2,1,5,2,W
2020-07-11,0,2,1,2,1,0,5,0,1,5,4,28,3,3,20,0,1,2,1,5,2,W
