date,Sweden,compartment
2020-05-31,0.185,SIR_MORT
2020-06-30,0.156,SIR_MORT
2020-07-31,0.125,SIR_MORT
2020-08-31,0.191,SIR_MORT
2020-09-30,0.233,SIR_MORT
2020-10-31,0.173,SIR_MORT
2020-11-30,0.199,SIR_MORT
2020-12-31,0.299,SIR_MORT
2021-01-31,0.294,SIR_MORT
2021-02-28,0.231,SIR_MORT
2021-03-31,0.256,SIR_MORT
2020-05-31,141,Nmort30
2020-06-30,78,Nmort30
2020-07-31,13,Nmort30
2020-08-31,13,Nmort30
2020-09-30,10,Nmort30
2020-10-31,29,Nmort30
2020-11-30,152,Nmort30
2020-12-31,330,Nmort30
2021-01-31,269,Nmort30
2021-02-28,141,Nmort30
2021-03-31,181,Nmort30
2020-05-31,762,N
2020-06-30,499,N
2020-07-31,104,N
2020-08-31,68,N
2020-09-30,43,N
2020-10-31,168,N
2020-11-30,765,N
2020-12-31,1103,N
2021-01-31,914,N
2021-02-28,610,N
2021-03-31,708,N
