date,Sweden,compartment
2020-03-08,4,W
2020-03-15,20,W
2020-03-22,107,W
2020-03-29,306,W
2020-04-05,356,W
2020-04-12,382,W
2020-04-19,350,W
2020-04-26,333,W
2020-05-03,275,W
2020-05-10,230,W
2020-05-17,186,W
2020-05-24,156,W
2020-05-31,171,W
2020-06-07,170,W
2020-06-14,133,W
2020-06-21,104,W
2020-06-28,81,W
2020-07-05,51,W
2020-07-12,23,W
2020-07-19,20,W
2020-07-26,18,W
2020-08-02,20,W
2020-08-09,21,W
2020-08-16,19,W
2020-08-23,10,W
2020-08-30,10,W
2020-09-06,10,W
2020-09-13,11,W
2020-09-20,10,W
2020-09-27,8,W
2020-10-04,15,W
2020-10-11,26,W
2020-10-18,23,W
2020-10-25,56,W
2020-11-01,74,W
2020-11-08,145,W
2020-11-15,160,W
2020-11-22,199,W
2020-11-29,230,W
2020-12-06,212,W
2020-12-13,206,W
2020-12-20,259,W
2020-12-27,268,W
2021-01-03,322,W
2021-01-05,264,W
2021-01-12,211,W
2021-01-19,176,W
2021-01-26,158,W
2021-02-02,132,W
2021-02-09,155,W
2021-02-16,142,W
2021-02-23,186,W
2021-03-02,189,W
2021-03-09,203,W
2021-03-16,222,W
2021-03-23,250,W
2021-03-30,303,W
2021-04-06,327,W
2021-04-13,327,W
2021-04-20,286,W
2021-04-27,231,W
2021-05-04,8,W
