date,Stockholm,Västra Götaland,Skåne,Östergötland,Jönköping,Uppsala,Gävleborg,Södermanland,Västmanland,Örebro,Halland,Västernorrland,Norrbotten,Dalarna,Kalmar,Värmland,Kronoberg,Västerbotten,Blekinge,Jämtland,Gotland,compartment
2020-03-08,37, 9, 2, 0, 2, 2, 4, 2, 0, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0,H
2020-03-15,83,18, 8,10, 9,10, 4, 7, 2, 2, 2, 2, 2, 5, 2, 4, 0, 2, 0, 0, 0,H
2020-03-22,335, 56, 25, 43, 13, 20, 10, 37,  6, 15,  8,  2, 16, 17,  9,  8,  0, 12,  0,  2,  2,H
2020-03-29,734, 94, 44,123, 54, 33, 42,116, 39, 21, 24, 10, 30, 57, 10,  6,  7, 11,  2,  7,  2,H
2020-04-05,968,149, 77,183, 76, 46, 69,144, 53, 49, 15, 22, 38, 54, 20,  2,  2, 26,  2,  9,  0,H
2020-04-12,982,235, 94,155, 53, 52, 66,117, 69, 64, 18, 35, 30, 59, 24, 15, 16, 23,  2, 10,  2,H
2020-04-19,872,238,101,122, 63, 78, 62, 99, 60, 52, 23, 32, 23, 56, 26, 20, 22, 15,  2, 19,  2,H
2020-04-26,740,307,104,106, 53, 50, 50, 74, 49, 67, 20, 24, 22, 37, 29, 26, 17,  2,  2,  8,  0,H
2020-05-03,567,253, 99, 74, 54, 76, 54, 52, 38, 50, 25, 31, 22, 39, 35, 43, 28,  8,  2, 14,  2,H
2020-05-10,549,207, 92, 64, 54, 49, 42, 42, 26, 34, 21, 24, 24, 26, 27, 27, 21,  2,  2, 11,  0,H
2020-05-17,450,176, 85, 44, 47, 53, 34, 28, 34, 37, 22, 35, 34, 27, 22, 22, 18,  8,  2,  8,  2,H
2020-05-24,395,205, 95, 46, 42, 47, 28, 22, 28, 34, 21, 40, 47, 27,  2, 37, 23,  2, 10, 16,  2,H
2020-05-31,441,210, 84, 30, 53, 51, 41, 25, 38, 42, 20, 29, 43, 17, 15, 27, 22,  2,  6,  6,  2,H
2020-06-07,365,183, 75, 40, 38, 45, 46, 20, 35, 22, 25, 31, 36, 17, 13, 44, 15,  6, 17,  2,  2,H
2020-06-14,292,150, 81, 40, 45, 51, 32, 16, 37, 21, 16, 24, 28, 15, 21, 26,  9,  8,  8,  2,  2,H
2020-06-21,220,152, 72, 19, 43, 28, 43, 19, 35, 17, 17, 21, 43, 11, 19, 20, 13,  4, 13,  7,  0,H
2020-06-28,171,110, 55, 18, 33, 29, 25,  6, 25, 14, 16, 14, 17, 14,  7, 19,  2,  5,  2,  9,  2,H
2020-07-05,110, 61, 39, 16, 30, 11, 27,  7, 10,  7,  6,  7, 14, 16,  8,  6,  5,  7,  5,  7,  0,H
2020-07-12,82,37,37, 8,14, 2,20, 7, 5, 2, 2, 7,12,10, 7,10, 2, 4, 2, 2, 2,H
2020-07-19,57,27,21, 6, 7, 2,16, 7, 4, 2, 2, 4,12, 2, 5, 2, 2, 2, 4, 2, 0,H
2020-07-26,52,38,33, 9,12, 2,14, 2, 6, 2, 2, 8, 7, 4, 2, 2, 2, 0, 2, 4, 2,H
2020-08-02,41,35,19, 6, 8, 2,11, 2, 7, 4, 2, 6,13, 2, 2, 0, 8, 2, 5, 2, 0,H
2020-08-09,47,36,17, 4,13, 4, 4, 0, 4, 2, 4, 8,13, 2, 2, 2, 2, 0, 2, 0, 0,H
2020-08-16,38,27,41, 4, 7, 4, 7, 2, 6, 2, 2, 7, 6, 2, 2, 5, 4, 0, 6, 0, 2,H
2020-08-23,28,24,26, 7, 2, 2,11, 2, 8, 2, 2, 8, 9, 2, 4, 2, 2, 0, 5, 2, 2,H
2020-08-30,23,19,25, 8, 2, 2, 9, 2, 2, 2, 4, 2,12, 9, 5, 0, 0, 2, 0, 2, 0,H
2020-09-06,31,16,19, 2, 4, 4,10, 0, 5, 2, 4, 2, 5, 2, 2, 5, 2, 2, 2, 2, 2,H
