date,Sweden,compartment
2020-03-17,8,Dinc
2020-03-18,5,Dinc
2020-03-19,7,Dinc
2020-03-20,7,Dinc
2020-03-21,9,Dinc
2020-03-22,13,Dinc
2020-03-23,12,Dinc
2020-03-24,22,Dinc
2020-03-25,22,Dinc
2020-03-26,29,Dinc
2020-03-27,32,Dinc
2020-03-28,33,Dinc
2020-03-29,38,Dinc
2020-03-30,43,Dinc
2020-03-31,50,Dinc
2020-04-01,55,Dinc
2020-04-02,75,Dinc
2020-04-03,85,Dinc
2020-04-04,73,Dinc
2020-04-05,91,Dinc
2020-04-06,98,Dinc
2020-04-07,97,Dinc
2020-04-08,122,Dinc
2020-04-09,94,Dinc
2020-04-10,107,Dinc
2020-04-11,106,Dinc
2020-04-12,113,Dinc
2020-04-13,97,Dinc
2020-04-14,103,Dinc
2020-04-15,121,Dinc
2020-04-16,122,Dinc
2020-04-17,95,Dinc
2020-04-18,95,Dinc
2020-04-19,95,Dinc
2020-04-20,98,Dinc
2020-04-21,72,Dinc
2020-04-22,82,Dinc
2020-04-23,89,Dinc
2020-04-24,97,Dinc
2020-04-25,76,Dinc
2020-04-26,80,Dinc
2020-04-27,76,Dinc
2020-04-28,91,Dinc
2020-04-29,79,Dinc
2020-04-30,76,Dinc
2020-05-01,78,Dinc
2020-05-02,82,Dinc
2020-05-03,73,Dinc
2020-05-04,85,Dinc
2020-05-05,72,Dinc
2020-05-06,69,Dinc
2020-05-07,76,Dinc
2020-05-08,57,Dinc
2020-05-09,65,Dinc
2020-05-10,75,Dinc
2020-05-11,59,Dinc
2020-05-12,63,Dinc
2020-05-13,49,Dinc
2020-05-14,47,Dinc
2020-05-15,62,Dinc
2020-05-16,43,Dinc
2020-05-17,59,Dinc
2020-05-18,57,Dinc
2020-05-19,42,Dinc
2020-05-20,50,Dinc
2020-05-21,47,Dinc
2020-05-22,55,Dinc
2020-05-23,47,Dinc
2020-05-24,44,Dinc
2020-05-25,40,Dinc
2020-05-26,28,Dinc
2020-05-27,39,Dinc
2020-05-28,37,Dinc
2020-05-29,39,Dinc
2020-05-30,36,Dinc
2020-05-31,39,Dinc
2020-06-01,40,Dinc
2020-06-02,41,Dinc
2020-06-03,28,Dinc
2020-06-04,42,Dinc
2020-06-05,36,Dinc
2020-06-06,34,Dinc
2020-06-07,33,Dinc
2020-06-08,37,Dinc
2020-06-09,33,Dinc
2020-06-10,37,Dinc
2020-06-11,36,Dinc
2020-06-12,26,Dinc
2020-06-13,29,Dinc
2020-06-14,31,Dinc
2020-06-15,31,Dinc
2020-06-16,27,Dinc
2020-06-17,33,Dinc
2020-06-18,26,Dinc
2020-06-19,28,Dinc
2020-06-20,26,Dinc
2020-06-21,18,Dinc
2020-06-22,21,Dinc
2020-06-23,20,Dinc
2020-06-24,21,Dinc
2020-06-25,21,Dinc
2020-06-26,12,Dinc
2020-06-27,13,Dinc
2020-06-28,25,Dinc
2020-06-29,13,Dinc
2020-06-30,14,Dinc
2020-07-01,14,Dinc
2020-07-02,15,Dinc
2020-07-03,8,Dinc
2020-07-04,15,Dinc
2020-07-05,6,Dinc
2020-07-06,13,Dinc
2020-07-07,14,Dinc
2020-07-08,11,Dinc
2020-07-09,12,Dinc
2020-07-10,8,Dinc
2020-07-11,10,Dinc
2020-07-12,9,Dinc
2020-07-13,12,Dinc
2020-07-14,10,Dinc
2020-07-15,7,Dinc
2020-07-16,4,Dinc
2020-07-17,8,Dinc
2020-07-18,17,Dinc
2020-07-19,7,Dinc
2020-07-20,5,Dinc
2020-07-21,6,Dinc
2020-07-22,6,Dinc
2020-07-23,7,Dinc
2020-07-24,NA,Dinc
2020-07-25,NA,Dinc
2020-07-26,NA,Dinc
2020-07-27,8,Dinc
2020-07-28,7,Dinc
2020-07-29,NA,Dinc
2020-07-30,NA,Dinc
2020-07-31,NA,Dinc
2020-08-01,NA,Dinc
2020-08-02,NA,Dinc
2020-08-03,5,Dinc
2020-08-04,NA,Dinc
2020-08-05,NA,Dinc
2020-08-06,5,Dinc
2020-08-07,NA,Dinc
2020-08-08,NA,Dinc
2020-08-09,7,Dinc
2020-08-10,NA,Dinc
2020-08-11,NA,Dinc
2020-08-12,4,Dinc
2020-08-13,NA,Dinc
2020-08-14,NA,Dinc
2020-08-15,NA,Dinc
2020-08-16,NA,Dinc
2020-08-17,NA,Dinc
2020-08-18,4,Dinc
2020-08-19,NA,Dinc
2020-08-20,NA,Dinc
2020-08-21,NA,Dinc
2020-08-22,NA,Dinc
2020-08-23,NA,Dinc
2020-08-24,5,Dinc
2020-08-25,NA,Dinc
2020-08-26,NA,Dinc
2020-08-27,NA,Dinc
2020-08-28,0,Dinc
2020-08-29,0,Dinc
2020-08-30,NA,Dinc
2020-08-31,NA,Dinc
2020-09-01,NA,Dinc
2020-09-02,NA,Dinc
2020-09-03,NA,Dinc
2020-09-04,0,Dinc
2020-09-05,0,Dinc
2020-09-06,4,Dinc
2020-09-07,NA,Dinc
2020-09-08,NA,Dinc
2020-09-09,NA,Dinc
2020-09-10,NA,Dinc
